co2TailpipeGpm,cylinders,displ,drive,feScore,fuelType,make,UCity,UHighway,VClass,year,startStop,lv4,pv4,am
397,6,3.6,Front-Wheel Drive,5,Gasoline or E85,Chrysler,23.7,40.5,Midsize Cars,2013,N,14,100,A
381,4,2.4,Front-Wheel Drive,6,Regular,Chrysler,24.7,43,Midsize Cars,2013,N,14,100,A
376,4,2.4,Front-Wheel Drive,6,Regular,Chrysler,26.1,40.3,Midsize Cars,2013,N,14,100,A
397,6,3.6,Front-Wheel Drive,5,Gasoline or E85,Dodge,23.7,40.5,Midsize Cars,2013,N,13,100,A
381,4,2.4,Front-Wheel Drive,6,Regular,Dodge,24.7,43,Midsize Cars,2013,N,13,100,A
376,4,2.4,Front-Wheel Drive,6,Regular,Dodge,26.1,40.3,Midsize Cars,2013,N,13,100,A
382,6,3.5,Rear-Wheel Drive,6,Premium or E85,Mercedes-Benz,24.7909,41.8822,Midsize Cars,2013,N,13,98,A
398,6,3.5,All-Wheel Drive,5,Premium or E85,Mercedes-Benz,23.7948,39.979,Midsize Cars,2013,N,13,98,A
339,4,1.6,All-Wheel Drive,7,Premium,MINI,29.9662,42.782,Compact Cars,2013,Y,16,103,A
325,4,1.6,All-Wheel Drive,7,Premium,MINI,32.0267,43.5575,Compact Cars,2013,Y,16,103,M
339,4,1.6,All-Wheel Drive,7,Premium,MINI,29.9662,42.782,Compact Cars,2013,Y,16,87,A
325,4,1.6,All-Wheel Drive,7,Premium,MINI,32.0267,43.5575,Compact Cars,2013,N,16,87,M
334,5,2.5,Front-Wheel Drive,7,Regular,Volkswagen,28.0549,42.473,Compact Cars,2013,N,16,94,A
335,5,2.5,Front-Wheel Drive,7,Regular,Volkswagen,26.3044,44.5088,Compact Cars,2013,N,16,94,M
374,6,3,Rear-Wheel Drive,6,Premium,BMW,25.6124,42.4092,Large Cars,2013,N,10,112,A
520,8,6.4,Rear-Wheel Drive,4,Premium,Chrysler,17.4,31.8,Large Cars,2013,N,16,106,A
503,8,5.7,All-Wheel Drive,4,Midgrade,Chrysler,18.1499,32.5997,Large Cars,2013,N,16,106,A
476,8,5.7,Rear-Wheel Drive,4,Midgrade,Chrysler,19.3,34.5,Large Cars,2013,N,16,106,A
413,6,3.6,All-Wheel Drive,5,Regular,Chrysler,23,38.1,Large Cars,2013,N,16,106,A
386,6,3.6,Rear-Wheel Drive,6,Regular,Chrysler,24,43.1,Large Cars,2013,N,16,106,A
